시도,시군구,GUI표기,시도코드,기준시군구코드(5자리),법원요청코드(3자리),검증결과
서울특별시,종로구,서울특별시 종로구,11,11110,110,정상
서울특별시,중구,서울특별시 중구,11,11140,140,정상
서울특별시,용산구,서울특별시 용산구,11,11170,170,정상
서울특별시,성동구,서울특별시 성동구,11,11200,200,정상
서울특별시,광진구,서울특별시 광진구,11,11215,215,정상
서울특별시,동대문구,서울특별시 동대문구,11,11230,230,정상
서울특별시,중랑구,서울특별시 중랑구,11,11260,260,정상
서울특별시,성북구,서울특별시 성북구,11,11290,290,정상
서울특별시,강북구,서울특별시 강북구,11,11305,305,정상
서울특별시,도봉구,서울특별시 도봉구,11,11320,320,정상
서울특별시,노원구,서울특별시 노원구,11,11350,350,정상
서울특별시,은평구,서울특별시 은평구,11,11380,380,정상
서울특별시,서대문구,서울특별시 서대문구,11,11410,410,정상
서울특별시,마포구,서울특별시 마포구,11,11440,440,정상
서울특별시,양천구,서울특별시 양천구,11,11470,470,정상
서울특별시,강서구,서울특별시 강서구,11,11500,500,정상
서울특별시,구로구,서울특별시 구로구,11,11530,530,정상
서울특별시,금천구,서울특별시 금천구,11,11545,545,정상
서울특별시,영등포구,서울특별시 영등포구,11,11560,560,정상
서울특별시,동작구,서울특별시 동작구,11,11590,590,정상
서울특별시,관악구,서울특별시 관악구,11,11620,620,정상
서울특별시,서초구,서울특별시 서초구,11,11650,650,정상
서울특별시,강남구,서울특별시 강남구,11,11680,680,정상
서울특별시,송파구,서울특별시 송파구,11,11710,710,정상
서울특별시,강동구,서울특별시 강동구,11,11740,740,정상
부산광역시,중구,부산광역시 중구,26,26110,110,정상
부산광역시,서구,부산광역시 서구,26,26140,140,정상
부산광역시,동구,부산광역시 동구,26,26170,170,정상
부산광역시,영도구,부산광역시 영도구,26,26200,200,정상
부산광역시,부산진구,부산광역시 부산진구,26,26230,230,정상
부산광역시,동래구,부산광역시 동래구,26,26260,260,정상
부산광역시,남구,부산광역시 남구,26,26290,290,정상
부산광역시,북구,부산광역시 북구,26,26320,320,정상
부산광역시,해운대구,부산광역시 해운대구,26,26350,350,정상
부산광역시,사하구,부산광역시 사하구,26,26380,380,정상
부산광역시,금정구,부산광역시 금정구,26,26410,410,정상
부산광역시,강서구,부산광역시 강서구,26,26440,440,정상
부산광역시,연제구,부산광역시 연제구,26,26470,470,정상
부산광역시,수영구,부산광역시 수영구,26,26500,500,정상
부산광역시,사상구,부산광역시 사상구,26,26530,530,정상
부산광역시,기장군,부산광역시 기장군,26,26710,710,정상
대구광역시,중구,대구광역시 중구,27,27110,110,정상
대구광역시,동구,대구광역시 동구,27,27140,140,정상
대구광역시,서구,대구광역시 서구,27,27170,170,정상
대구광역시,남구,대구광역시 남구,27,27200,200,정상
대구광역시,북구,대구광역시 북구,27,27230,230,정상
대구광역시,수성구,대구광역시 수성구,27,27260,260,정상
대구광역시,달서구,대구광역시 달서구,27,27290,290,정상
대구광역시,달성군,대구광역시 달성군,27,27710,710,정상
대구광역시,군위군,대구광역시 군위군,27,27720,720,정상
인천광역시,중구,인천광역시 중구,28,28110,110,정상
인천광역시,동구,인천광역시 동구,28,28140,140,정상
인천광역시,미추홀구,인천광역시 미추홀구,28,28177,177,정상
인천광역시,연수구,인천광역시 연수구,28,28185,185,정상
인천광역시,남동구,인천광역시 남동구,28,28200,200,정상
인천광역시,부평구,인천광역시 부평구,28,28237,237,정상
인천광역시,계양구,인천광역시 계양구,28,28245,245,정상
인천광역시,서구,인천광역시 서구,28,28260,260,정상
인천광역시,강화군,인천광역시 강화군,28,28710,710,정상
인천광역시,옹진군,인천광역시 옹진군,28,28720,720,정상
광주광역시,동구,광주광역시 동구,29,29110,110,정상
광주광역시,서구,광주광역시 서구,29,29140,140,정상
광주광역시,남구,광주광역시 남구,29,29155,155,정상
광주광역시,북구,광주광역시 북구,29,29170,170,정상
광주광역시,광산구,광주광역시 광산구,29,29200,200,정상
대전광역시,동구,대전광역시 동구,30,30110,110,정상
대전광역시,중구,대전광역시 중구,30,30140,140,정상
대전광역시,서구,대전광역시 서구,30,30170,170,정상
대전광역시,유성구,대전광역시 유성구,30,30200,200,정상
대전광역시,대덕구,대전광역시 대덕구,30,30230,230,정상
울산광역시,중구,울산광역시 중구,31,31110,110,정상
울산광역시,남구,울산광역시 남구,31,31140,140,정상
울산광역시,동구,울산광역시 동구,31,31170,170,정상
울산광역시,북구,울산광역시 북구,31,31200,200,정상
울산광역시,울주군,울산광역시 울주군,31,31710,710,정상
세종특별자치시,세종특별자치시,세종특별자치시 세종시,36,36110,110,정상
경기도,수원시,경기도 수원시,41,41110,110,정상
경기도,성남시,경기도 성남시,41,41130,130,정상
경기도,의정부시,경기도 의정부시,41,41150,150,정상
경기도,안양시,경기도 안양시,41,41170,170,정상
경기도,부천시,경기도 부천시,41,41190,190,정상
경기도,광명시,경기도 광명시,41,41210,210,정상
경기도,평택시,경기도 평택시,41,41220,220,정상
경기도,동두천시,경기도 동두천시,41,41250,250,정상
경기도,안산시,경기도 안산시,41,41270,270,정상
경기도,고양시,경기도 고양시,41,41280,280,정상
경기도,과천시,경기도 과천시,41,41290,290,정상
경기도,구리시,경기도 구리시,41,41310,310,정상
경기도,남양주시,경기도 남양주시,41,41360,360,정상
경기도,오산시,경기도 오산시,41,41370,370,정상
경기도,시흥시,경기도 시흥시,41,41390,390,정상
경기도,군포시,경기도 군포시,41,41410,410,정상
경기도,의왕시,경기도 의왕시,41,41430,430,정상
경기도,하남시,경기도 하남시,41,41450,450,정상
경기도,용인시,경기도 용인시,41,41460,460,정상
경기도,파주시,경기도 파주시,41,41480,480,정상
경기도,이천시,경기도 이천시,41,41500,500,정상
경기도,안성시,경기도 안성시,41,41550,550,정상
경기도,김포시,경기도 김포시,41,41570,570,정상
경기도,화성시,경기도 화성시,41,41590,590,정상
경기도,광주시,경기도 광주시,41,41610,610,정상
경기도,양주시,경기도 양주시,41,41630,630,정상
경기도,포천시,경기도 포천시,41,41650,650,정상
경기도,여주시,경기도 여주시,41,41670,670,정상
경기도,연천군,경기도 연천군,41,41800,800,정상
경기도,가평군,경기도 가평군,41,41820,820,정상
경기도,양평군,경기도 양평군,41,41830,830,정상
강원특별자치도,춘천시,강원특별자치도 춘천시,51,51110,110,정상
강원특별자치도,원주시,강원특별자치도 원주시,51,51130,130,정상
강원특별자치도,강릉시,강원특별자치도 강릉시,51,51150,150,정상
강원특별자치도,동해시,강원특별자치도 동해시,51,51170,170,정상
강원특별자치도,태백시,강원특별자치도 태백시,51,51190,190,정상
강원특별자치도,속초시,강원특별자치도 속초시,51,51210,210,정상
강원특별자치도,삼척시,강원특별자치도 삼척시,51,51230,230,정상
강원특별자치도,홍천군,강원특별자치도 홍천군,51,51720,720,정상
강원특별자치도,횡성군,강원특별자치도 횡성군,51,51730,730,정상
강원특별자치도,영월군,강원특별자치도 영월군,51,51750,750,정상
강원특별자치도,평창군,강원특별자치도 평창군,51,51760,760,정상
강원특별자치도,정선군,강원특별자치도 정선군,51,51770,770,정상
강원특별자치도,철원군,강원특별자치도 철원군,51,51780,780,정상
강원특별자치도,화천군,강원특별자치도 화천군,51,51790,790,정상
강원특별자치도,양구군,강원특별자치도 양구군,51,51800,800,정상
강원특별자치도,인제군,강원특별자치도 인제군,51,51810,810,정상
강원특별자치도,고성군,강원특별자치도 고성군,51,51820,820,정상
강원특별자치도,양양군,강원특별자치도 양양군,51,51830,830,정상
충청북도,청주시,충청북도 청주시,43,43110,110,정상
충청북도,충주시,충청북도 충주시,43,43130,130,정상
충청북도,제천시,충청북도 제천시,43,43150,150,정상
충청북도,보은군,충청북도 보은군,43,43720,720,정상
충청북도,옥천군,충청북도 옥천군,43,43730,730,정상
충청북도,영동군,충청북도 영동군,43,43740,740,정상
충청북도,증평군,충청북도 증평군,43,43745,745,정상
충청북도,진천군,충청북도 진천군,43,43750,750,정상
충청북도,괴산군,충청북도 괴산군,43,43760,760,정상
충청북도,음성군,충청북도 음성군,43,43770,770,정상
충청북도,단양군,충청북도 단양군,43,43800,800,정상
충청남도,천안시,충청남도 천안시,44,44130,130,정상
충청남도,공주시,충청남도 공주시,44,44150,150,정상
충청남도,보령시,충청남도 보령시,44,44180,180,정상
충청남도,아산시,충청남도 아산시,44,44200,200,정상
충청남도,서산시,충청남도 서산시,44,44210,210,정상
충청남도,논산시,충청남도 논산시,44,44230,230,정상
충청남도,계룡시,충청남도 계룡시,44,44250,250,정상
충청남도,당진시,충청남도 당진시,44,44270,270,정상
충청남도,금산군,충청남도 금산군,44,44710,710,정상
충청남도,부여군,충청남도 부여군,44,44760,760,정상
충청남도,서천군,충청남도 서천군,44,44770,770,정상
충청남도,청양군,충청남도 청양군,44,44790,790,정상
충청남도,홍성군,충청남도 홍성군,44,44800,800,정상
충청남도,예산군,충청남도 예산군,44,44810,810,정상
충청남도,태안군,충청남도 태안군,44,44825,825,정상
전북특별자치도,전주시,전북특별자치도 전주시,52,52110,110,정상
전북특별자치도,군산시,전북특별자치도 군산시,52,52130,130,정상
전북특별자치도,익산시,전북특별자치도 익산시,52,52140,140,정상
전북특별자치도,정읍시,전북특별자치도 정읍시,52,52180,180,정상
전북특별자치도,남원시,전북특별자치도 남원시,52,52190,190,정상
전북특별자치도,김제시,전북특별자치도 김제시,52,52210,210,정상
전북특별자치도,완주군,전북특별자치도 완주군,52,52710,710,정상
전북특별자치도,진안군,전북특별자치도 진안군,52,52720,720,정상
전북특별자치도,무주군,전북특별자치도 무주군,52,52730,730,정상
전북특별자치도,장수군,전북특별자치도 장수군,52,52740,740,정상
전북특별자치도,임실군,전북특별자치도 임실군,52,52750,750,정상
전북특별자치도,순창군,전북특별자치도 순창군,52,52770,770,정상
전북특별자치도,고창군,전북특별자치도 고창군,52,52790,790,정상
전북특별자치도,부안군,전북특별자치도 부안군,52,52800,800,정상
전라남도,목포시,전라남도 목포시,46,46110,110,정상
전라남도,여수시,전라남도 여수시,46,46130,130,정상
전라남도,순천시,전라남도 순천시,46,46150,150,정상
전라남도,나주시,전라남도 나주시,46,46170,170,정상
전라남도,광양시,전라남도 광양시,46,46230,230,정상
전라남도,담양군,전라남도 담양군,46,46710,710,정상
전라남도,곡성군,전라남도 곡성군,46,46720,720,정상
전라남도,구례군,전라남도 구례군,46,46730,730,정상
전라남도,고흥군,전라남도 고흥군,46,46770,770,정상
전라남도,보성군,전라남도 보성군,46,46780,780,정상
전라남도,화순군,전라남도 화순군,46,46790,790,정상
전라남도,장흥군,전라남도 장흥군,46,46800,800,정상
전라남도,강진군,전라남도 강진군,46,46810,810,정상
전라남도,해남군,전라남도 해남군,46,46820,820,정상
전라남도,영암군,전라남도 영암군,46,46830,830,정상
전라남도,무안군,전라남도 무안군,46,46840,840,정상
전라남도,함평군,전라남도 함평군,46,46860,860,정상
전라남도,영광군,전라남도 영광군,46,46870,870,정상
전라남도,장성군,전라남도 장성군,46,46880,880,정상
전라남도,완도군,전라남도 완도군,46,46890,890,정상
전라남도,진도군,전라남도 진도군,46,46900,900,정상
전라남도,신안군,전라남도 신안군,46,46910,910,정상
경상북도,포항시,경상북도 포항시,47,47110,110,정상
경상북도,경주시,경상북도 경주시,47,47130,130,정상
경상북도,김천시,경상북도 김천시,47,47150,150,정상
경상북도,안동시,경상북도 안동시,47,47170,170,정상
경상북도,구미시,경상북도 구미시,47,47190,190,정상
경상북도,영주시,경상북도 영주시,47,47210,210,정상
경상북도,영천시,경상북도 영천시,47,47230,230,정상
경상북도,상주시,경상북도 상주시,47,47250,250,정상
경상북도,문경시,경상북도 문경시,47,47280,280,정상
경상북도,경산시,경상북도 경산시,47,47290,290,정상
경상북도,의성군,경상북도 의성군,47,47730,730,정상
경상북도,청송군,경상북도 청송군,47,47750,750,정상
경상북도,영양군,경상북도 영양군,47,47760,760,정상
경상북도,영덕군,경상북도 영덕군,47,47770,770,정상
경상북도,청도군,경상북도 청도군,47,47820,820,정상
경상북도,고령군,경상북도 고령군,47,47830,830,정상
경상북도,성주군,경상북도 성주군,47,47840,840,정상
경상북도,칠곡군,경상북도 칠곡군,47,47850,850,정상
경상북도,예천군,경상북도 예천군,47,47900,900,정상
경상북도,봉화군,경상북도 봉화군,47,47920,920,정상
경상북도,울진군,경상북도 울진군,47,47930,930,정상
경상북도,울릉군,경상북도 울릉군,47,47940,940,정상
경상남도,창원시,경상남도 창원시,48,48120,120,정상
경상남도,진주시,경상남도 진주시,48,48170,170,정상
경상남도,통영시,경상남도 통영시,48,48220,220,정상
경상남도,사천시,경상남도 사천시,48,48240,240,정상
경상남도,김해시,경상남도 김해시,48,48250,250,정상
경상남도,밀양시,경상남도 밀양시,48,48270,270,정상
경상남도,거제시,경상남도 거제시,48,48310,310,정상
경상남도,양산시,경상남도 양산시,48,48330,330,정상
경상남도,의령군,경상남도 의령군,48,48720,720,정상
경상남도,함안군,경상남도 함안군,48,48730,730,정상
경상남도,창녕군,경상남도 창녕군,48,48740,740,정상
경상남도,고성군,경상남도 고성군,48,48820,820,정상
경상남도,남해군,경상남도 남해군,48,48840,840,정상
경상남도,하동군,경상남도 하동군,48,48850,850,정상
경상남도,산청군,경상남도 산청군,48,48860,860,정상
경상남도,함양군,경상남도 함양군,48,48870,870,정상
경상남도,거창군,경상남도 거창군,48,48880,880,정상
경상남도,합천군,경상남도 합천군,48,48890,890,정상
제주특별자치도,제주시,제주특별자치도 제주시,50,50110,110,정상
제주특별자치도,서귀포시,제주특별자치도 서귀포시,50,50130,130,정상
